address,staked_bmx,voter_points
0x9aCf8D0315094d33Aa6875B673EB126483C3A2c0,19555.026985396440176888,4797.932710825961626969
0x74Aa4646850fa30eb4431B2617775E91d01b3a29,18913.75547349159359291,28113.572626745375583542
0x5fF2f9f7c3006aD27B7BAEbd971c00827Eb11C2E,16414.183490843591822545,22813.033466915495508113
0x4260614dc21676B1AA75Dbe4a50A3b416C4c0CD6,16325.265242185463579594,21581.91018506756857021
0x7378bc4c56DFa1CbD4Cca1814Cb948D26Fd86a3D,15353.54722023409338817,5846.681998904499961175
0x0eDA9a45Ba80326aD0cDFB21e2125fceA71289ed,15000.847370655986637346,17855.799049575601564217
0xa6a21c25CE569E7157FdF799067E74aF134160DB,15000,19433.261035007610350025
0x8eaE6474F8FeE5D15d2477fB05B59cdf0859878e,12292.409384711860356351,8693.29498357823004016
0x52aa92a08B209533A11A1B5Ce0aF39DCdf5199c8,12273.723833222507243721,18025.346597364928909031
0x754CF7728daF4dB12E876f2CD6e62C37a1f2A184,11700.001155769656482572,22180.108548534126849005
0x201B70CDB25AE89600C7B1E8fa121f537f9dc11B,11294,1241.945457889396245558
0x840859AA5229b6B07436e94ed59f28C43a169dB0,11000.001672447929403893,4575.828264995847611559
0xdD8a209d92d03Aa4743b0187318f8589e3a317bC,10141.430736662869839288,5098.629013477638482922
0x7aeAf02BcBd687Cc61358E5b63faCB31B6B6a12C,10000.02303260752073765,10985.381536473819093743
0x702D6DeF95d59E31ebA8420372821c2E49F2D607,10000,15104.422372663683160259
0xf00357452a6f048b906cCa9B7DD14f86A02555dD,9634.930714613874403381,18143.028689764096810699
0xc3dF626D62429E31cdea23602ADD0E47C1a85a5D,9598.646235146779347827,2353.353983261522562429
0x25Bdf12fE44cEfD3711d5691AA5Da348d8e974E5,9000.008449247291536395,20964.957252982123522595
0xe17A3d8399ebc55CC9C6b5719687B70D5fbf44a4,8653.329691641643298731,2111.398574803252199392
0x9493fe47c427537788ab7479C59732E310F71739,8233.237141541033803615,14264.545120689678767612
0xA9D74e2781829ed54ebbC3c2B4458C3F956E1144,8102,828.490645230847285641
0xc86fC1953aC75C3f12eabcec108d6C616774E3A9,8037.485957330151520222,7972.483178203978218895
0x592EcB501A0fF5b6B89E4cD058a52064e1C46Ee7,7965.290957819472726656,1253.935807487992596728
0xe5Fae1A033AD8cb1355E8F19811380AfD15B8bBa,7021.566945593731585505,10018.264676845039560134
0x652AB9e3577eD85d7fC9A41fAFf68E9DA4Db00Ff,7000,3118.227295788939624553
